   
Part             Value                                 Device                                Package                  Description                                                                     AVAILABILITY DESCRIPTION                                                                         DIGI-KEY_PART_NUMBER DIGI-KEY_PURCHASE_URL                                                                                                                                                            MF                MP               PACKAGE                  PRICE         PROD_ID   SPICEPREFIX VALUE
868MHZ_ANTENNA   SMA-J-P-H-ST-EM1                      SMA-J-P-H-ST-EM1                      SMA-J-P-H-ST-EM1         Connector SMA F 50Ohm Solder ST Edge Mount Gold Over Nickel Tray                Unavailable   Connector SMA F 50Ohm Solder ST Edge Mount Gold Over Nickel Tray                                                                                                                                                                                                                         Samtec            SMA-J-P-H-ST-EM1 None                     None                                     
C1               10uF                                  C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C2               100nF                                 C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C3               10uF                                  C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C4               0.1uF                                 C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C5               0.1uF                                 C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C7               0.1uF                                 C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C8               1uF                                   C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C9               100nF                                 C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C10              100nF                                 C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C11              4.7uF                                 C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C12              10nF                                  C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C13              22pF                                  C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C14              22uF                                  CPOL-EUC                              PANASONIC_C              POLARIZED CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                       C                
C15              0.1uF                                 C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C16              2.2uF                                 C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C17              10uF                                  C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C18              43pF                                  C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C19              10uF                                  C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C20              82pF                                  C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C21              22uF                                  C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
C22              100pF                                 C-EUC0603                             C0603                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                 C                
